base_seed,attempt,seed,prompt,image,total_score,alignment_score,requirements_score,usability_score,failed_requirements,requirement_octopus_subject,requirement_flowing_hair_attribute
17,1,17,"an octopus with long flowing human-like hair, underwater, cinematic photograph",experiments/current/evaluator_retry/rare_octopus_flowing_hair_evaluator_retry/attempts/base_17_attempt_1.png,0.6507387978335221,0.6662839651107788,0.6377887527147929,0.6576335579156876,"['octopus_subject', 'flowing_hair_attribute']",0.6340913772583008,0.6404297351837158
17,2,1026,"an octopus with long flowing human-like hair, underwater, cinematic photograph. Clearly show: an octopus is the main subject, with eight visible tentacles; long human-like hair clearly grows from the octopus head and flows in the water. accurate subject-attribute binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_octopus_flowing_hair_evaluator_retry/attempts/base_17_attempt_2.png,0.6580253567298253,0.663845956325531,0.6457822273174922,0.6852543890476226,"['octopus_subject', 'flowing_hair_attribute']",0.6390508413314819,0.6505903601646423
17,3,2035,"an octopus with long flowing human-like hair, underwater, cinematic photograph. Clearly show: an octopus is the main subject, with eight visible tentacles; long human-like hair clearly grows from the octopus head and flows in the water. accurate subject-attribute binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_octopus_flowing_hair_evaluator_retry/attempts/base_17_attempt_3.png,0.6525211400290329,0.6621196269989014,0.6551804492870966,0.6212603062391282,['flowing_hair_attribute'],0.6566860675811768,0.654105007648468
17,4,3044,"an octopus with long flowing human-like hair, underwater, cinematic photograph. Clearly show: long human-like hair clearly grows from the octopus head and flows in the water. accurate subject-attribute binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_octopus_flowing_hair_evaluator_retry/attempts/base_17_attempt_4.png,0.6598708570748568,0.6620395183563232,0.6571815311908723,0.6637750670313836,['flowing_hair_attribute'],0.6556421518325806,0.6582810878753662
31,1,31,"an octopus with long flowing human-like hair, underwater, cinematic photograph",experiments/current/evaluator_retry/rare_octopus_flowing_hair_evaluator_retry/attempts/base_31_attempt_1.png,0.661591209769249,0.680822491645813,0.6570117324590684,0.6319831430912017,['flowing_hair_attribute'],0.6514215469360352,0.6610047221183777
31,2,1040,"an octopus with long flowing human-like hair, underwater, cinematic photograph. Clearly show: long human-like hair clearly grows from the octopus head and flows in the water. accurate subject-attribute binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_octopus_flowing_hair_evaluator_retry/attempts/base_31_attempt_2.png,0.6801708583285411,0.6920207738876343,0.6633144418398539,0.7087091103196144,['flowing_hair_attribute'],0.6432273387908936,0.6776623725891113
31,3,2049,"an octopus with long flowing human-like hair, underwater, cinematic photograph. Clearly show: long human-like hair clearly grows from the octopus head and flows in the water. accurate subject-attribute binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_octopus_flowing_hair_evaluator_retry/attempts/base_31_attempt_3.png,0.6753917435308298,0.6603218913078308,0.6584057907263438,0.7671745747327805,['flowing_hair_attribute'],0.6576551198959351,0.6589419841766357
31,4,3058,"an octopus with long flowing human-like hair, underwater, cinematic photograph. Clearly show: long human-like hair clearly grows from the octopus head and flows in the water. accurate subject-attribute binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_octopus_flowing_hair_evaluator_retry/attempts/base_31_attempt_4.png,0.6554613458241025,0.6617202162742615,0.6520049025615057,0.6523787923157214,['flowing_hair_attribute'],0.6480384469032288,0.6548380851745605
53,1,53,"an octopus with long flowing human-like hair, underwater, cinematic photograph",experiments/current/evaluator_retry/rare_octopus_flowing_hair_evaluator_retry/attempts/base_53_attempt_1.png,0.6648008706669012,0.6867449879646301,0.6575736453135809,0.6376886814832686,['flowing_hair_attribute'],0.6423911452293396,0.668418288230896
53,2,1062,"an octopus with long flowing human-like hair, underwater, cinematic photograph. Clearly show: long human-like hair clearly grows from the octopus head and flows in the water. accurate subject-attribute binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_octopus_flowing_hair_evaluator_retry/attempts/base_53_attempt_2.png,0.6596732487281163,0.6621213555335999,0.6582087973753611,0.6588425040245055,['flowing_hair_attribute'],0.6442047357559204,0.6682116985321045
53,3,2071,"an octopus with long flowing human-like hair, underwater, cinematic photograph. Clearly show: long human-like hair clearly grows from the octopus head and flows in the water. accurate subject-attribute binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_octopus_flowing_hair_evaluator_retry/attempts/base_53_attempt_3.png,0.6712868666897217,0.6613417863845825,0.6596106489499409,0.7334127798676491,['flowing_hair_attribute'],0.6585290431976318,0.6603832244873047
53,4,3080,"an octopus with long flowing human-like hair, underwater, cinematic photograph. Clearly show: long human-like hair clearly grows from the octopus head and flows in the water. accurate subject-attribute binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_octopus_flowing_hair_evaluator_retry/attempts/base_53_attempt_4.png,0.664676020865639,0.6676287055015564,0.660974437991778,0.6701250329613686,['flowing_hair_attribute'],0.6560842990875244,0.6644673943519592
79,1,79,"an octopus with long flowing human-like hair, underwater, cinematic photograph",experiments/current/evaluator_retry/rare_octopus_flowing_hair_evaluator_retry/attempts/base_79_attempt_1.png,0.6728419200827678,0.6832672953605652,0.6529849569002787,0.7147059217095375,['flowing_hair_attribute'],0.6412979960441589,0.6613327860832214
79,2,1088,"an octopus with long flowing human-like hair, underwater, cinematic photograph. Clearly show: long human-like hair clearly grows from the octopus head and flows in the water. accurate subject-attribute binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_octopus_flowing_hair_evaluator_retry/attempts/base_79_attempt_2.png,0.6729944977660973,0.6697838306427002,0.659227396051089,0.7263763934373855,['flowing_hair_attribute'],0.6522175073623657,0.664234459400177
79,3,2097,"an octopus with long flowing human-like hair, underwater, cinematic photograph. Clearly show: long human-like hair clearly grows from the octopus head and flows in the water. accurate subject-attribute binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_octopus_flowing_hair_evaluator_retry/attempts/base_79_attempt_3.png,0.6636439692229034,0.662695586681366,0.6589046269655229,0.6816546693444252,['flowing_hair_attribute'],0.6654335856437683,0.6542410850524902
79,4,3106,"an octopus with long flowing human-like hair, underwater, cinematic photograph. Clearly show: long human-like hair clearly grows from the octopus head and flows in the water. accurate subject-attribute binding, coherent anatomy, high detail",experiments/current/evaluator_retry/rare_octopus_flowing_hair_evaluator_retry/attempts/base_79_attempt_4.png,0.6675602929542461,0.6631311178207397,0.653375526269277,0.7251775905489921,['flowing_hair_attribute'],0.6545206904411316,0.6525575518608093
